wavelength fwhm
525.4274902 0.010155
525.6045410 0.017498
525.6132812 0.019905
525.6776855 0.013048
526.1204590 0.026071
527.5073242 0.013161
527.6143066 0.011252
527.6354980 0.012556
529.4045410 0.013484
529.8500977 0.013959
529.9159668 0.012455
529.9457520 0.011044
530.6588379 0.016686
531.1780273 0.019448
531.3241699 0.018451
532.0495117 0.017666
532.4442871 0.015360
532.5169434 0.008139
532.5509277 0.012836
532.9681152 0.011188
533.0422363 0.066442
533.0729004 0.016931
534.4772461 0.015137
534.9925293 0.012684
535.0148438 0.010150
535.4181152 0.011900
535.4644043 0.011891
550.2400391 0.011256
554.2235840 0.013318
554.3445801 0.013495
554.4592285 0.013032
554.4894531 0.013868
554.9343262 0.013380
556.2966309 0.017894
556.4000977 0.012482
556.9531250 0.016334
557.7346680 0.012675
558.1218750 0.014389
558.9136230 0.014000
559.7793945 0.013604
560.5147461 0.018758
561.7170898 0.012908
562.3783203 0.019080
562.3899414 0.015797
563.9303711 0.016374
564.5167969 0.012962
564.5399902 0.016420
566.4195801 0.043137
566.9388184 0.015908
566.9686035 0.011386
569.6494629 0.017729
569.6851562 0.014096
586.5467285 0.014478
586.6003906 0.015854
586.7267578 0.013551
586.7552246 0.014280
586.8313477 0.015384
586.9278320 0.014017
586.9481934 0.017694
587.2735840 0.015222
587.4937012 0.008310
587.5389160 0.014700
588.7135254 0.019205
588.8192383 0.014000
588.9958984 0.015177
589.4471680 0.019369
589.5932129 0.014989
590.3370605 0.016272
590.3577148 0.012108
590.6705078 0.015692
591.5307617 0.015294
592.4729492 0.015457
593.2864258 0.020016
594.5936035 0.014984
595.3358887 0.019313
595.3489746 0.020538
597.0282227 0.015415
597.6961914 0.014098
597.7207031 0.014686
599.7765137 0.019526
600.3750977 0.015043
600.4085938 0.015144
602.8375488 0.025661
602.8508789 0.012911
603.3790527 0.012570
603.4219238 0.015698
606.7156738 0.012545
606.7683105 0.015927
609.9458496 0.017931
609.9769531 0.014785
610.3931152 0.012880
610.4584961 0.014131
613.6550781 0.006814
613.6779785 0.017268
613.8984863 0.025236
613.9466797 0.015942
614.0093750 0.005836
614.0554199 0.004278
614.3379883 0.015975
614.4481934 0.015921
615.0938965 0.015667
615.5987793 0.015784
615.6773926 0.015000
615.8188965 0.018358
616.9536133 0.022738
617.0645996 0.014680
617.6294922 0.024808
618.4309570 0.048889
619.2943848 0.018226
620.2728027 0.016991
621.3067383 0.015468
622.1775879 0.023579
623.4304199 0.014529
623.5683594 0.015259
623.5965332 0.016089
623.6994141 0.016611
623.7419434 0.015276
624.0240723 0.020648
624.1698730 0.014643
624.3564941 0.018494
624.3728027 0.026123
624.7367188 0.023053
624.8020508 0.018754
625.6950195 0.019743
625.7970215 0.015230
625.9189453 0.026827
626.1754883 0.017968
626.2747070 0.033695
626.2845215 0.017103
626.5223145 0.019235
626.8279297 0.013562
626.8539551 0.015858
627.8096191 0.016850
628.7442871 0.015845
628.9047852 0.014428
628.9437988 0.018430
629.0354980 0.012492
629.5915527 0.013271
629.6294922 0.014056
629.7911621 0.016350
630.0308594 0.016251
630.1281738 0.066368
630.6933594 0.021925
630.8556641 0.018854
632.1408691 0.015375
632.9784180 0.020843
632.9927734 0.024268
634.2868652 0.012475
634.3240723 0.013097
634.8544922 0.015350
635.6184570 0.016166
635.6452637 0.015918
636.1302246 0.018836
636.3782715 0.016414
637.9321777 0.019274
638.6250488 0.015254
638.6623047 0.015060
641.3773438 0.025715
641.3889160 0.024279
642.0075684 0.014545
642.0560059 0.016134
642.5752441 0.009413
645.1952637 0.011193
645.2230957 0.014983
645.5992676 0.016587
645.7741211 0.014569
645.8345703 0.019146
646.3529785 0.016979
646.3800781 0.017668
646.4895996 0.015159
646.5946777 0.018270
646.6924805 0.014069
647.0152832 0.015962
647.0984863 0.016515
647.7921387 0.015796
649.4120117 0.012717
649.4416992 0.014546
649.7531250 0.022079
649.8736816 0.015740
649.9395508 0.020182
650.0132324 0.014072
650.2609375 0.017223
650.2720703 0.025915
650.4999023 0.025125
651.3854492 0.015143
651.4151367 0.015409
652.2432617 0.016621
653.3049805 0.017338
654.0281250 0.012678
654.0756836 0.022806
654.4035645 0.016259
654.6069824 0.037338
655.2817383 0.011239
655.3625977 0.023913
655.5907227 0.018263
655.8283691 0.043551
656.2759766 0.022610
656.8789062 0.015897
657.7201660 0.019063
657.7375977 0.020034
657.8104492 0.013982
658.0439941 0.031257
658.3723633 0.025758
658.4487793 0.026164
659.6644531 0.017535
660.3995605 0.015647
660.4283691 0.017295
662.0454102 0.012156
662.7631836 0.025200
663.4048340 0.016237
663.4433594 0.016221
665.0812500 0.017361
666.1685059 0.039779
666.1863770 0.023345
666.7385742 0.016947
666.7866699 0.017745
669.9055176 0.021982
669.9285645 0.018376
669.9654785 0.018406
670.4106445 0.016418
670.4676270 0.016562
671.4775391 0.042008
